Time (s),Ground Accel (m/s²),Floor Disp (m),Floor Vel (m/s),Floor Accel (m/s²),Damper Rel Disp (m),Damper Rel Vel (m/s),Damper Rel Accel (m/s²),Damper Abs Disp (m),Damper Abs Accel (m/s²)
24.65,-0.18555624810000002,0.05234805874319602,-0.04863317326911321,0.14293169773281467,-0.07238430116153648,0.30262689026541445,-0.005404458490942621,-0.020036242418340455,0.13752723924187205
24.66,-0.21347697960000003,0.05186958564923435,-0.04706144552322115,0.17141385144559773,-0.06935834937341392,0.302563467359096,-0.007280122772741815,-0.017488763724179575,0.16413372867285592
24.67,-0.24083481330000003,0.05140823916450679,-0.045207851422290474,0.1993049687405365,-0.06633312345937101,0.3024817154494874,-0.009070259148983628,-0.014924884294864216,0.19023470959155286
24.68,-0.26495338500000004,0.050966741450898176,-0.04309169129943267,0.2239270558310248,-0.06330880250987671,0.30238247444937255,-0.010777940873979541,-0.012342061058978532,0.21314911495704525
24.69,-0.260122941,0.05054691210533485,-0.04087417781323224,0.21957564140906005,-0.06028555825707232,0.30226637611150536,-0.012441726699449096,-0.009738646151737466,0.20713391470961096
24.7,-0.2175136965,0.05014809561497023,-0.038889120259691795,0.17743586929903,-0.05726355914258983,0.30213344678499265,-0.014144138603087053,-0.007115463527619596,0.16329173069594294
24.71,-0.1582109712,0.04976660551103583,-0.0374089005271884,0.11860807720164968,-0.05424297713705018,0.3019829543229365,-0.01595435380814003,-0.004476371626014351,0.10265372339350964
24.72,-0.1005110037,0.049397016623186206,-0.036508877042736455,0.06139661968873955,-0.05122399380381086,0.3018137123249277,-0.017894045793611535,-0.0018269771806246546,0.043502573895128016
24.73,-0.05165493759,0.04903378890247255,-0.03613666709999477,0.01304536885959895,-0.04820680286881917,0.3016244746734105,-0.019953484509826258,0.0008269860336533805,-0.006908115650227309
24.74,-0.011780436600000001,0.04867209067797893,-0.03620297779872897,-0.026307508606439822,-0.0451916097946598,0.3014141401584639,-0.022113418479492775,0.003480480883319134,-0.0484209270859326
24.75,0.01917665667,0.04830798505002504,-0.03661814779204978,-0.05672649005772168,-0.04217863007767321,0.3011818032388535,-0.024353965442585168,0.006129354972351828,-0.08108045550030685
24.76,0.048559627529999996,0.04793824655407906,-0.037329551397146256,-0.08555423096157366,-0.03916808749275426,0.30092671374493685,-0.026663933340757562,0.008770159061324799,-0.11221816430233122
24.77,0.07659613665000001,0.04755998677332359,-0.03832240475394695,-0.11301644039856551,-0.03616021298466409,0.3006481878730968,-0.029041241027257247,0.0113997737886595,-0.14205768142582276
24.78,0.08705317482,0.04717086526250542,-0.03950189740968738,-0.12288209074952061,-0.03315524373122653,0.300345662814415,-0.031463770709096006,0.014015621531278888,-0.15434586145861662
