Time (s),Ground Accel (m/s²),Floor Disp (m),Floor Vel (m/s),Floor Accel (m/s²),Damper Rel Disp (m),Damper Rel Vel (m/s),Damper Rel Accel (m/s²),Damper Abs Disp (m),Damper Abs Accel (m/s²)
7.54,-1.373036049,-0.11194718795163881,-0.2918851390921201,1.498188324721414,-0.0023316762188014084,-0.05403312953614643,-0.12789732945694454,-0.11427886417044023,1.3702909952644695
7.55,-1.702442115,-0.11478286377189852,-0.27525002495982054,1.8288345017384957,-0.002878297225983236,-0.055291071900219126,-0.1236911433575949,-0.11766116099788175,1.7051433583809008
7.56,-1.9138122990000002,-0.117438616576747,-0.2559005360098776,2.041063288250089,-0.0034372648127695103,-0.0565024454570357,-0.11858356800572012,-0.12087588138951652,1.9224797202443689
7.57,-2.017861083,-0.11989295390204435,-0.2349669290495915,2.1456581038071336,-0.004008076507643154,-0.05765989351769308,-0.11290604412575589,-0.1239010304096875,2.0327520596813775
7.58,-2.060117658,-0.1221342766368781,-0.21329761791715918,2.188204122679326,-0.004590170830547178,-0.058758971063111676,-0.10690946495796383,-0.12672444746742528,2.0812946577213625
7.59,-2.109315789,-0.12415661142735111,-0.19116934017744228,2.2374514252640525,-0.005182950156705908,-0.05979689416863434,-0.10067515614656997,-0.12933956158405702,2.1367762691174823
7.6,-2.182274721,-0.12595461347918047,-0.16843107018842834,2.3102025725387305,-0.005785789878399907,-0.06077105017016541,-0.09415604415964496,-0.13174040335758036,2.216046528379086
7.61,-2.22187671,-0.12752243565419963,-0.14513336481540415,2.349338502066108,-0.006398038418809445,-0.06167865791174212,-0.08736550415569666,-0.13392047407300908,2.2619729979104113
7.62,-2.1661186320000003,-0.12885771322117445,-0.12192214857956066,2.292904745102592,-0.007019021573189536,-0.06251797296427619,-0.08049750635111708,-0.135876734794364,2.2124072387514753
7.63,-1.9583820720000003,-0.12996750241895091,-0.10003569097573173,2.0843867756631953,-0.007648061945579716,-0.06329010151375987,-0.07392820354561791,-0.13761556436453062,2.010458572117577
7.64,-1.5612124500000002,-0.13087358755013556,-0.08118133526119774,1.6864843672436036,-0.008284515692323264,-0.06400064783494964,-0.06818106069233765,-0.13915810324245884,1.618303306551266
7.65,-1.042197723,-0.1316140652192519,-0.06691419856206927,1.1669429725820892,-0.008927820211570294,-0.06466025601445632,-0.06374057520899767,-0.1405418854308222,1.1032023973730916
7.66,-0.5401610649,-0.13223741683729837,-0.0577561250472246,0.6646717303868455,-0.009577535903141443,-0.06528288229977361,-0.06078468185445929,-0.14181495274043981,0.6038870485323862
7.67,-0.1411613874,-0.13279171812452306,-0.05310413239771449,0.26572679951517575,-0.010233363158833154,-0.06588256883856845,-0.0591526259045112,-0.14302508128335623,0.20657417361066455
7.68,0.1483369119,-0.13331670313424965,-0.05189286954760275,-0.023474229492827625,-0.010895131185415352,-0.06647103647787121,-0.05854090195604145,-0.144211834319665,-0.08201513144886907
7.69,0.33113959109999996,-0.13384136356763954,-0.05303921713037517,-0.20579528706165728,-0.011562770973077143,-0.06705692105448699,-0.0586360133671151,-0.14540413454071668,-0.2644313004287724
7.7,0.40047461100000004,-0.13438376397483184,-0.055440864308086056,-0.2745341484805204,-0.012236283933856848,-0.06764567110145404,-0.0591139960262963,-0.14662004790868868,-0.3336481445068167
7.71,0.3552212772,-0.13495075230586184,-0.05795680189791383,-0.22865336948503323,-0.012915709356233906,-0.06823941337395752,-0.059634458474396856,-0.14786646166209574,-0.2882878279594301
7.72,0.2323273851,-0.13553866614918408,-0.059625966766534345,-0.10517960423907002,-0.013601092018601817,-0.06883711909962459,-0.05990668665901766,-0.1491397581677859,-0.16508629089808768
7.73,0.1118037852,-0.13613715937666723,-0.060072678730095454,0.015837211526847916,-0.014292456208190068,-0.06943571881802565,-0.05981325702119533,-0.1504296155848573,-0.043976045494347415
7.74,0.04241562453,-0.13673534916070065,-0.059565278076588644,0.08564291917451339,-0.014989794485049862,-0.0700319365539332,-0.05943029016031276,-0.15172514364575052,0.026212629014200628
7.75,0.012976089210000001,-0.13732597453304782,-0.05855979639284423,0.11545341757436933,-0.01569307190608497,-0.07062354765308844,-0.05889192967073753,-0.15301904643913278,0.0565614879036318
7.76,0.02279656629,-0.13790603651975977,-0.057452600949546774,0.10598567108512125,-0.016402237585604704,-0.07120958825085823,-0.05831618988322007,-0.15430827410536446,0.047669481201901176
7.77,0.09042285096000001,-0.13847694455488693,-0.05672900607588524,0.0387333036471853,-0.0171172376156767,-0.07179041776354125,-0.05784971265338412,-0.15559418217056364,-0.01911640900619882
7.78,0.2198772198,-0.13904552310068466,-0.056986703083660085,-0.09027270520215414,-0.017838029916834943,-0.07236804246810716,-0.057675228259794986,-0.1568835530175196,-0.14794793346194912
7.79,0.4143210336,-0.1396247502489135,-0.05885872656210664,-0.28413199048715665,-0.018564601939163664,-0.07294636199763693,-0.05798867764615934,-0.15818935218807717,-0.342120668133316
7.8,0.6608785104,-0.14023368844630188,-0.0629289129155707,-0.5299052802056581,-0.019296989619404233,-0.07353117405047702,-0.05897373292185848,-0.15953067806570612,-0.5888790131275166
7.81,0.8793828207000001,-0.14089491009691033,-0.06931541720611842,-0.747395577903883,-0.02003529258828393,-0.07412941972546268,-0.060675402075274,-0.16093020268519426,-0.808070979979157
7.82,0.9437299461,-0.14162701299237504,-0.07710516188682452,-0.8105533582373363,-0.020779674338688908,-0.07474693035553265,-0.06282672393871835,-0.16240668733106395,-0.8733800821760547
