route_id,route_name
0100000A00,0東
0100000B00,0南
0100090790,907通勤
0162000700,通勤7
0162000900,通勤9
0152003500,通勤11
0152003600,通勤12
0152003700,通勤13
0152003800,通勤16
0152004500,通勤18
0152004400,通勤21
0152004200,通勤22
0152004700,通勤24
0152004900,通勤25
0152005000,通勤26
0152005100,通勤27
0152005200,通勤28
0152005300,通勤29
0153000100,市民小巴1
0153000200,市民小巴2
0153000500,市民小巴5
0153000600,市民小巴6
0153000700,市民小巴7
0153000800,市民小巴8
0153000900,市民小巴9
0153001000,市民小巴10
0153001100,市民小巴11
0153001200,市民小巴12
0153001500,市民小巴15
0153001600,市民小巴16
0153001700,市民小巴17
0153001800,市民小巴18
0454010100,F101坪頂
0454010170,F101樹興
0454010200,F102
0454010300,F103
0454010500,F105
0454010590,F105反
0454010690,F106
0454010900,F109
0454012100,F121
0454012200,F122
0454012380,F123-0640、0700
0454012390,F123-1205
0454012370,F123-1550
0454012600,F126
0454012670,F126江厝
0454012690,F126經里中
0454013100,F131
0454013200,F132
0454013210,F132經青山
0454013300,F133平日
0454013360,F133假日
0454013380,F133末班
0454013500,F135
0454013600,F136
0454013700,F137
0454013800,F138內橫山
0454013870,F138新古庄
0454013970,F139行經101線
0454013900,F139行經台2線
0454015180,F151-0605
0454015100,F151-0620
0454115100,F151-0655、1030
0454015110,F151-0730
0454015190,F151-0800
0454015170,F151-0830、1655
0454015120,F151-0930
0454015130,F151-1000
0454015140,F151-1605
0454015150,F151-1625
0454215100,F151-1730
0454015160,F151-1800
0454015280,F152-0600
04540152A0,F152-0620、0745
0454015200,F152-0635
0454015210,F152-0700
0454015220,F152-0810
0454015290,F152-0845
0454015230,F152-0925
04540152C0,F152-0950
0454015240,F152-1545
04540152D0,F152-1630
0454015250,F152-1655
0454015260,F152-1720
04540152E0,F152-1740
04540152B0,F152-1800
0454015380,F153-0620
0454015330,F153-0730、0945
0454015340,F153-0820
0454015350,F153-1030
0454015360,F153-1605
0454015370,F153-1730
0454016100,F161
0454020100,F201
0454020200,F202
0454020500,F205
0454020600,F206
0454020700,F207
0454021100,F211
0454021200,F212
0454021210,F212副
0454021290,F212楓江
0454021300,F213
0454021370,F213黎明
0454021700,F217
0454021800,F218
0454023300,F233
